name,price,color,mileage,brand,model,location,date_displayed,transmission,air_conditioner,power_steering,remote_control,item_url,year,log_price,car_age,km_per_year,search_text
Suzuki Grand vitara 2007,450000.0,Red,190000.0,Suzuki,Grand vitara,Cairo,2024-02-12,Manual,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/suzuki/Grand-vitara/6268776,2007.0,13.017005083966255,19.0,10000.0,brand Suzuki model Grand vitara name Suzuki Grand vitara 2007 location Cairo color Red transmission Manual
Kia Sportage 2019,1600000.0,White,140000.0,Kia,Sportage,6 October,2024-02-12,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/sportage/6268809,2019.0,14.285514812209815,7.0,20000.0,brand Kia model Sportage name Kia Sportage 2019 location 6 October color White transmission Automatic
Opel Crossland 2020,950000.0,Silver,85000.0,Opel,Crossland,El Haram,2024-02-12,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/opel/Crossland/6268770,2020.0,13.76421831620775,6.0,14166.666666666666,brand Opel model Crossland name Opel Crossland 2020 location El Haram color Silver transmission Automatic
Proton Persona 2009,235000.0,Silver,215000.0,Proton,Persona,6 October,2024-02-12,Manual,No,No,No,https://eg.hatla2ee.com/en/car/proton/persona/6268878,2009.0,12.367345048436391,17.0,12647.058823529413,brand Proton model Persona name Proton Persona 2009 location 6 October color Silver transmission Manual
Skoda Octavia A5 2008,680000.0,Black,145000.0,Skoda,Octavia A5,Nasr city,2024-02-12,Automatic,No,No,No,https://eg.hatla2ee.com/en/car/skoda/Octavia-A5/6268691,2008.0,13.429849547739444,18.0,8055.555555555556,brand Skoda model Octavia A5 name Skoda Octavia A5 2008 location Nasr city color Black transmission Automatic
Hyundai Verna 2012,390000.0,Black,168000.0,Hyundai,Verna,Qalyubia,2024-02-12,Manual,Yes,No,Yes,https://eg.hatla2ee.com/en/car/hyundai/verna/6268716,2012.0,12.873904582205107,14.0,12000.0,brand Hyundai model Verna name Hyundai Verna 2012 location Qalyubia color Black transmission Manual
Subaru Impreza 2006,480000.0,White,160000.0,Subaru,Impreza,6 October,2024-02-12,Manual,No,No,No,https://eg.hatla2ee.com/en/car/subaru/impreza/6268752,2006.0,13.081543466215237,20.0,8000.0,brand Subaru model Impreza name Subaru Impreza 2006 location 6 October color White transmission Manual
Nissan Sunny 2019,450000.0,Bronze,120000.0,Nissan,Sunny,Giza,2024-02-12,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6268662,2019.0,13.017005083966255,7.0,17142.85714285714,brand Nissan model Sunny name Nissan Sunny 2019 location Giza color Bronze transmission Automatic
Hyundai Avante 2020,1200000.0,White,102000.0,Hyundai,Avante,El Marg,2024-02-12,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/avante/6268608,2020.0,13.997832948091215,6.0,17000.0,brand Hyundai model Avante name Hyundai Avante 2020 location El Marg color White transmission Automatic
Hyundai Verna 2010,310000.0,White,280000.0,Hyundai,Verna,Tanta,2024-02-12,Manual,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/verna/6268563,2010.0,12.644330802262578,16.0,17500.0,brand Hyundai model Verna name Hyundai Verna 2010 location Tanta color White transmission Manual
Fiat Tipo 2020,950000.0,White,88000.0,Fiat,Tipo,Zagazig,2024-02-12,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/fiat/tipo/6268562,2020.0,13.76421831620775,6.0,14666.666666666666,brand Fiat model Tipo name Fiat Tipo 2020 location Zagazig color White transmission Automatic
Nissan Sunny 2023,650000.0,Black,18000.0,Nissan,Sunny,Shobra,2024-02-12,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6268436,2023.0,13.384729180332174,3.0,6000.0,brand Nissan model Sunny name Nissan Sunny 2023 location Shobra color Black transmission Automatic
Nissan Sentra 2018,750000.0,Gray,80000.0,Nissan,Sentra,Sohag,2024-02-12,Automatic,No,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sentra/6268463,2018.0,13.527829818844937,8.0,10000.0,brand Nissan model Sentra name Nissan Sentra 2018 location Sohag color Gray transmission Automatic
Nissan Sunny 2023,650000.0,Black,18000.0,Nissan,Sunny,Shobra,2024-02-12,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6268421,2023.0,13.384729180332174,3.0,6000.0,brand Nissan model Sunny name Nissan Sunny 2023 location Shobra color Black transmission Automatic
Hyundai Matrix 2006,460000.0,Dark blue,,Hyundai,Matrix,Mansoura,2024-02-12,Manual,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/matrix/6268379,2006.0,13.038983942375959,20.0,,brand Hyundai model Matrix name Hyundai Matrix 2006 location Mansoura color Dark blue transmission Manual
